unique_key,created_date,closed_date,complaint_type,descriptor,incident_address,street_name,cross_street_1,cross_street_2,borough,incident_zip,latitude,longitude,resolution_description,drain_category,duration_hours
69810560,2026-07-22 15:32:00,2026-07-22 19:50:00,Sewer,Street Flooding (SJ),271 CENTRAL PARK WEST,CENTRAL PARK WEST,W 87 ST,W 88 ST,MANHATTAN,10024,40.78624587514839,-73.96865905731963,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),4.3
69807635,2026-07-22 10:24:00,2026-07-22 11:00:00,Sewer,Street Flooding (SJ),162 AVENUE B,AVENUE B,E 10 ST,E 11 ST,MANHATTAN,10009,40.7270661703141,-73.97977401836124,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.6
69812060,2026-07-22 06:58:00,2026-07-22 10:55:00,Sewer,Street Flooding (SJ),40 NORTH    4 STREET,NORTH    4 STREET,N 4 PL,WYTHE AVE,BROOKLYN,11249,40.71848195630628,-73.96321480997295,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),3.95
69796293,2026-07-21 16:15:00,2026-07-21 16:35:00,Sewer,Street Flooding (SJ),248 EAST   31 STREET,EAST   31 STREET,3 AVE,2 AVE,MANHATTAN,10016,40.743339560392265,-73.97837969074094,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),0.3333333333333333
69799030,2026-07-21 14:47:00,2026-07-21 16:40:00,Sewer,Street Flooding (SJ),493A CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON AVE,HANCOCK ST,BROOKLYN,11221,40.69103731013362,-73.91275721436878,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),1.8833333333333333
69792232,2026-07-21 13:30:00,2026-07-21 19:45:00,Sewer,Street Flooding (SJ),47-18 73 STREET,73 STREET,47 AVE,48 AVE,QUEENS,11377,40.73876372453538,-73.89080163422426,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.25
69800354,2026-07-21 13:14:00,2026-07-21 20:35:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11432,40.721353048353635,-73.78650879224409,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),7.35
69799029,2026-07-21 11:41:00,2026-07-21 18:20:00,Sewer,Street Flooding (SJ),60-11 BROADWAY,BROADWAY,60 ST,61 ST,QUEENS,11377,40.75110854400235,-73.90180396065647,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),6.65
69794926,2026-07-21 11:10:00,2026-07-21 20:15:00,Sewer,Street Flooding (SJ),,,,,QUEENS,11377,40.7390675980332,-73.89587117610836,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),9.083333333333334
69800352,2026-07-21 11:06:00,2026-07-21 19:15:00,Sewer,Street Flooding (SJ),,,,,BROOKLYN,11211,40.70994851264965,-73.95549695218213,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Naturally Receded (Unobserved),8.15
